Parent,Child,Conversion,Child Description,Parent Description,Child QSU,Parent QSU,Child SU,Parent SU
07200535,07200535PK,10,MICRO CENT TUBE 1.7ML 500/PK,MICRO CENT TUBE 1.7ML 5000/CS,00100,05000,PK,CS
13811191,13811191PK,10,SEDI-PET STANDARD 500PK,SEDI-PET STANDARD 5000/CS,00001,05000,EA,CS
04100511,04100511EA,10,CLIPTIP384 12.5EXTFLTR ST384EA,CLIPTIP 384 12.5 EXT FILTER ST,00001,3840,EA,PK
21377385,21377385PK,10,FINNTIP 0.2-505L384PK,FINNTIP 0.2-505L 3840/CS,00001,03840,EA,CS
14387993,14387993EA,10,CLIPTIP384 125FILTER 384/EA,CLIPTIP384 125FILTER10X384 PK,00001,3840,EA,PK
18310B,18310BPK,10,ABSORBOND 9INX9IN 300/PK,ABSORBOND 9INX9IN 3000/CS,00025,03000,PK,CS
18344E,18344EPK,10,TEXWRITE 22 8.5X11 250SHT/PK,TEXWRITE 22 8.5X11 2500SHT/CS,00100,02500,PK,CS
17384200,17384200PK,10,FOAM EARPLGS UNCORDED 200PK,FOAM EARPLGS UNCORDED 2000CS,00006,02000,PK,CS
12553451,12553451PK,10,COVER GLASS NO.1 200/PK,COVER GLASS NO.1 2000/CS,00050,02000,PK,CS
22246069,22246069PK,10,SPONGE 4-PLY 4X4IN 200/PK,SPONGE 4-PLY 4X4IN 2000/CS,00050,02000,PK,CS
12553454,12553454PK,10,COVER GLASS NO.1 1/2 200/PK,COVER GLASS NO.1 1/2 2000/CS,00010,02000,PK,CS
18322,18322PK,10,ALPHAWIPE 9INX9IN 150EA/PK,ALPHAWIPE 9INX9IN 1500/CS,00001,01500,EA,CS
191305610,191305610PK,10,CUT LAUNDERED 9X9 150/PK,CUT LAUNDERED 9X9,00001,01500,EA,CS
0992727D,0992727DPK,10,SYR FLT 25MM .45UM NYL 150/PK,SYR FLT 25MM .45UM NYL 1500/PK,00100,01500,PK,PK
07201210,07201210PK,10,0.2ML PCR STRP 1X8CLR NS 125PK,.2ML PCR STRP 1X8CLR NS 1250CS,00001,01250,EA,CS
07201212,07201212PK,10,0.2ML PCR CAP DM CLEAR 125/PK,0.2ML PCR CAP DM CLEAR 1250/CS,00001,01250,EA,CS
21403190,21403190EA,10,HLT .6ML TB GRAD ST CL 100/EA,HLT .6ML TB GRAD ST CL 1000PK,00005,1000,PK,PK
19423104,19423104PK,10,GLV CLNRM PF NTRL XL 100/PK,GLV CLNRM PF NTRL XL 1000/CS,00001,01000,EA,CS
17441210,17441210PK,10,PF-95OR NTR EXM GLV MD 100PK,PF-95OR NTR EXM GLV MD 1000/CS,00001,01000,EA,CS
19052780,19052780PK,10,GLOVE CL100 XSM WHT 100PK,12  WHITE CLASS 100 SZ XSMALL,00010,01000,PK,CS
