Parent,Child,CONVERSION RATE,Parent Description,Child Description,Parent QSU,Child QSU,Parent SU,Child SU
17033806,17033806PK,12,HYFLX 11584 CUT GLV SZ8 144/CS,HYFLX 11584 CUT GLV SZ8 12PK,00144,00012,CS,PK
17033807,17033807PK,12,HYFLX 11584 CUT GLV SZ9 144/CS,HYFLX 11584 CUT GLV SZ9 12PK,00144,00012,CS,PK
17033808,17033808PK,12,HYFLX 11584 CUT GLV SZ10 144CS,HYFLX 11584 CUT GLV SZ10 12PK,00144,00012,CS,PK
17033814,17033814PK,12,HYFLX 11594 CUT GLV SZ8 144/CS,HYFLX 11594 CUT GLV SZ8 12PK,00144,00012,CS,PK
17033815,17033815PK,12,HYFLX 11594 CUT GLV SZ9 144/CS,HYFLX 11594 CUT GLV SZ9 12PK,00144,00012,CS,PK
17033816,17033816PK,12,HYFLX 11594 CUT GLV SZ10 144CS,HYFLX 11594 CUT GLV SZ10 12PK,00144,00012,CS,PK
17033822,17033822PK,12,HYFLX 11814 CUT GLV SZ8 144/CS,HYFLX 11814 CUT GLV SZ8 12PK,00144,00012,CS,PK
17033823,17033823PK,12,HYFLX 11814 CUT GLV SZ9 144/CS,HYFLX 11814 CUT GLV SZ9 12PK,00144,00012,CS,PK
17033824,17033824PK,12,HYFLX 11814 CUT GLV SZ10 144CS,HYFLX 11814 CUT GLV SZ10 12PK,00144,00012,CS,PK
19067709,19067709PK,10,GLV 15IN20MIL CLNRM SZ7 10PRPK,GLV 15IN20MILCLNRM SZ7 10PK,00100,00010,CS,PK
19067714,19067714PK,10,GLV 15IN 20ML CNRM SZ 8 10PRPK,GLV 15IN 20ML CNRMSZ 8 10PK,00100,00010,CS,PK
02555590,02555590EA,4,BC0025L30SP CAP 25 SQ CM EFA,BIOCAP LUER LCK DPTH FILT 30SP,00004,00001,CS,EA
19166600,19166600EA,12,SHARPIE ULTRA FINE BLK IR 12CS,SHARPIE ULTRA FINE BLK IR 1EA,00012,00001,CS,EA
19166601,19166601EA,12,SHARPIE ULTRA FINE BLU IR 12CS,SHARPIE ULTRA FINE BLU IR 1EA,00012,00001,CS,EA
19166602,19166602EA,12,SHARPIE ULTRA FINE RED IR 12CS,SHARPIE ULTRA FINE RED IR 1EA,00012,00001,CS,EA
17355289,17355289PR,72,TOTALFORM TF-14BK SM 72PR/CS,TOTALFORM TF-14BK MD 1PR,00072,00001,CS,PR
17355290,17355290PR,72,TOTALFORM TF-14BK SM 72PR/CS,TOTALFORM TF-14BK SM 1PR,00072,00001,CS,PR
17355294,17355294PR,72,TOTALFORM TF-14BK SM 72PR/CS,TOTALFORM TF-14BK XL 1PR,00072,00001,CS,PR
02540250,02540250EA,50,BIOTAINER PC 125ML ST LP 50/CS,BIOTAINER PC 125ML ST LP 1EA,00050,00001,CS,EA
02540267,02540267EA,24,BIOTAINER HDPE 4L ST 24/CSBIO,BIOTAINER HDPE 4L ST 1EA BIO,00024,00001,CS,EA
02540614,02540614EA,10,TNK LNR 30GA GAMMA IRRAD 10CS,TNK LNR 30GA GAMMA IRRAD 1EA,00010,00001,CS,EA
13683700,13683700PK,4,CBT. ADVANCED 0.1ML STANDARD,CBT ADVANCD 0.1ML STNDRD 25/PK,00100,00025,CS,PK
13683701,13683701PK,4,CBT. ADVANCED 0.2ML STANDARD,CBT ADVANCD 0.2ML STNDRD 25/PK,00100,00025,CS,PK
13683702,13683702PK,4,CBT. ADVANCED 0.5ML STANDARD,CBT ADVANCD 0.5ML STNDRD 25/PK,00100,00025,CS,PK
01816A,01816APK,20,BG ZIP SEAL 4MIL 4X6IN 1000CS,BG ZIP SEAL 4MIL 4X6IN 50PK,01000,00050,CS,PK
01816B,01816BPK,5,BG ZIPSEAL PE 4MIL 6X13IN250CS,BG ZIPSEAL PE 4MIL 6X13IN 50PK,00250,00050,CS,PK
19413005,19413005EA,6,PINK FMSOAP 1000ML 6CS,PINK FMSOAP 1000ML 1EA,00006,00001,CS,EA
19021873,19021873PK,6,TF-44BK CUT RES GLV LG 72/CS,TF-44BK CUT RES GLV LG 12PK,00072,00012,CS,PK
19021874,19021874PK,6,TF-44BK CUT RES GLV XL 72/CS,TF-44BK CUT RES GLV XLG 12PK,00072,00012,CS,PK
19021875,19021875PK,6,TF-44BK CUT RES GLV 2XL 72/CS,TF-44BK CUT RES GLV 2XLG 12PK,00072,00012,CS,PK
19072200,19072200EA,20,MXE1002SGAF-BLK GRAY 20/CS,MXE1002SGAF-BLK GRAY 1EA,00020,00001,CS,EA
502830333,502830333PK,24,PAD GAUZE STR 3X3IN 12P 2400CT,PAD GAUZE STR 3X3IN 12P 100PK,02400,00100,CS,PK
50809221,50809221PK,2,15ML SCTUBE 17X120CB GWB/CS500,15ML SCTUBE 17X120CB GWB/250PK,00500,00250,CS,PK
05721133,05721133EA,24,250ML HDPE W/M ROUND 24/CS,250ML HDPE W/M ROUND 1EA,00024,00001,CS,EA
05721135,05721135EA,12,950ML W/M ROUND HDPE 12/CS,950ML W/M ROUND HDPE 1EA,00012,00001,CS,EA
01818101,01818101PK,5,ZIP BG 12X15 4ML CLR PE 500/CS,ZIP BG 12X15 4ML CLR PE 100/PK,00500,00100,CS,PK
02991975,02991975EA,24,250CC AM PKR TH F217 PTFE 24CS,250CC AM PKR TH F217 PTFE 24CS,00024,00001,CS,EA
02992664,02992664EA,24,60CC AM PKR TH F217 PTFE 24CS,60CC AM PKR TH F217 PTFE 1EA,00024,00001,CS,EA
02992831,02992831EA,12,500CC AM PKR TH F217 PTFE 12CS,500CC AM PKR TH F217 PTFE 12CS,00012,00001,CS,EA
361010829,361010829EA,24,30CC AM PKR F217 PTFE 24CS,30CC AM PKR F217 PTFE 24CS,00024,00001,CS,EA
MK66229,MK66229EA,6,KLEAN AR 9NO,KLEAN AR 9NO 1EA,00006,00001,CS,EA
17467378,17467378PK,10,SOLO980 NTR PF BLU 9IN2XL500CS,SOLO980 NTR PF BLU 9IN 2XL50PK,00500,00050,CS,PK
17467379,17467379PK,10,SOLO980 NTR PF BLU 9IN3XL500CS,SOLO980 NTR PF BLU 9IN 3XL50PK,00500,00050,CS,PK
17467380,17467380PK,10,SOLO980 NTR PF BLU 9INSM 500CS,SOLO980 NTR PF BLU 9IN SM 50PK,00500,00050,CS,PK
17467381,17467381PK,10,SOLO980 NTR PF BLU 9INMD 500CS,SOLO980 NTR PF BLU 9IN MD 50PK,00500,00050,CS,PK
17467382,17467382PK,10,SOLO980 NTR PF BLU 9INLG 500CS,SOLO980 NTR PF BLU 9IN LG 50PK,00500,00050,CS,PK
17467383,17467383PK,10,SOLO980 NTR PF BLU 9INXL 500CS,SOLO980 NTR PF BLU 9IN XL 50PK,00500,00050,CS,PK
19165633,19165633EA,12,DISFCTNT SPORICIDIN 32OZ 12CS,DISFCTNT SPORICIDIN 32OZ 12CS,00012,00001,CS,EA
02923222,02923222PK,25,EZ FLIP PP TUBE 50ML RACKED CA,EZ FLIP PP TUBE 50ML RACKED CA,00500,00020,CS,PK
501909303,501909303EA,12,BATRY D CELL PC1300 12/PK,BATRY D CELL PC1300 1EA,00012,00001,PK,EA
01817200,01817200PK,10,6X9 2MIL ZIP CLR BAG 1000/CS,6X9 2MIL ZIP CLR BAG 100PK,01000,00100,CS,PK
19500935,19500935EA,6,53001 NTR CHM RES GLV SZ9 6PK,53001 NTR CHM RES GLV SZ9 1EA,00006,00001,PK,EA
17355288,17355288EA,72,TOTALFORM TF-14BK SM 72PR/CS,TOTALFORM TF-14BK LG 1PR,00072,00001,CS,PR
17720629,17720629PR,36,ALPHATEC 53003 SIZE 7.0 36/CS,ALPHATEC 53003 SIZE 7.0 1PR,00036,00001,CS,EA
17720630,17720630PR,36,ALPHATEC 53003 SIZE 8.0 36/CS,ALPHATEC 53003 SIZE 8.0 1PR,00036,00001,CS,EA
17720632,17720632PR,36,ALPHATEC 53003 SIZE 10.0 36/CS,ALPHATEC 53003 SIZE 10.0 1PR,00036,00001,CS,EA
17720633,17720633PR,36,ALPHATEC 53003 SIZE 11.0 36/CS,ALPHATEC 53003 SIZE 11.0 1PR,00036,00001,CS,EA
19500934,19500934EA,6,53001 NTR CHM RES GLV SZ8 6PK,53001 NTR CHM RES GLV SZ8 1EA,00006,00001,PK,EA
19500936,19500936EA,6,53001 NTR CHM RES GLV SZ10 6PK,53001 NTR CHM RES GLV SZ10 1EA,00006,00001,PK,EA
19500937,19500937EA,6,53001 NTR CHM RES GLV SZ11 6PK,53001 NTR CHM RES GLV SZ11 1EA,00006,00001,PK,EA
01671762,01671762PK,5,200UL LTS FLTRD TIP STERILE,200UL LTS FLTRD TIP STRL 960PK,04800,00960,CS,PK
01671763,01671763PK,5,20UL LTS FLTRD TIP STERILE,20UL LTS FLTRD TIP STRL 960PK,04800,00960,CS,PK
01671764,01671764PK,5,1000UL LTS FLTRD TIP STERILE,1000UL LTS FLTRDTIP STRL 960PK,04800,00960,CS,PK
19161022,19161022PK,4,EASYREACH CLEANING PADS QUIL,EASYREACHCLEANINGPADSQUIL 15PK,00060,00015,CS,PK
19170944,19170944PK,10,WIPES POLYNIT HS 12X12 B 750CS,WIPES POLYNIT HS 12X12 B 75PK,00750,00075,CS,PK
19668305,19668305PK,20,ST NEOPRN CE GLV SZ 7 400/CS,ST NEOPRN CE GLV SZ 7 10PK,00200,00010,CS,PK
07200600,07200600PK,4,BIO ASSY DISH 245MM SQR 16/CS,BIO ASSY DISH 245MM SQR 4PK,00016,00004,CS,PK
0974022K,0974022KEA,12,FLTR BTLTOP 45MM 500ML 12/CS,FLTR BTLTOP 45MM 500ML 1EA,00012,00001,CS,EA
09741202,09741202EA,12,FLTR PES 500ML 0.1UM CS12,FLTR PES 500ML 0.1UM 1EA,00012,00001,CS,EA
19150181,19150181PK,20,73-500 STRL NPRN GLV SZ6 200CS,73-500 STRL NPRN GLV 6.5 10PK,00200,00010,CS,PK
19150182,19150182PK,20,73-500 STRL NPRN GLV 6.5 200CS,73-500 STRL NPRN GLV 6.5 10PK,00200,00010,CS,PK
19150183,19150183PK,20,73-500 STRL NPRN GLV SZ7 200CS,73-500 STRL NPRN GLV SZ7 10PK,00200,00010,CS,PK
19150184,19150184PK,20,73-500 STRL NPRN GLV 7.5 200CS,73-500 STRL NPRN GLV 7.5 10PK,00200,00010,CS,PK
19150185,19150185PK,20,73-500 STRL NPRN GLV SZ8 200CS,73-500 STRL NPRN GLV SZ8 10PK,00200,00010,CS,PK
19668304,19668304PK,20,ST NEOPRN CE GLV SZ 6.5 400/CS,ST NEOPRN CE GLV SZ 6.5 10PK,00200,00010,CS,PK
19668306,19668306PK,20,ST NEOPRN CE GLV SZ 7.5 400/CS,ST NEOPRN CE GLV SZ 7.5 10PK,00200,00010,CS,PK
19668307,19668307PK,20,ST NEOPRN CE GLV SZ 8 400/CS,ST NEOPRN CE GLV SZ 8 10PK,00200,00010,CS,PK
02993342,02993342EA,12,32OZ NAT SPRY WHPP SPRY 12CS,32OZ NAT SPRY WHPP SPRY 1EA,00012,00001,CS,EA
