Parent,Child,Conversion,Child Description,Child UOM
011890106,011890106EA,3,BTLWASH LYOB 500ML 1EA,EA
011890108,011890108EA,6,BTLWASH NARWMOTH RD 16OZ 1EA,EA
01213108,01213108PK,5,1536W COC WHITE PLATE BC 10/PK,PK
01257567,01257567EA,6,FISHERBRAND SCOOPULA SS 1/EA,EA
0128837,0128837PK,6,BOTLE NM HDPE 250ML STER 30/PK,PK
0136110A,0136110AEA,30,LAB COAT TY SNP 2PKT SM,EA
0136110B,0136110BEA,30,LAB COAT TY SNP 2PKT MD,EA
0136110C,0136110CEA,30,LAB COAT TY SNP 2PKT LG,EA
0136110D,0136110DEA,30,LAB COAT TY SNP 2PKT XL,EA
0136110E,0136110EEA,30,LAB COAT TY SNP 2PKT 2X,EA
0136118D,0136118DEA,50,SHIRT TY SNP FRONT XL 1/EA,EA
013611B,013611BEA,25,CVL TYVEK ZPR FRONT M 1EA,EA
013614E,013614EEA,25,CVRL TYVK ZPR ELS WA 2X 1/EA,EA
01549765,01549765EA,50,BIOLITE 24 WELL MULTIDISH 1EA,EA
0181257,0181257EA,100,10X15INSLF SEL ATCLV PCH 1/EA,EA
0181419,0181419EA,6,LAB NOTEBOOK 200PP,EA
0181456,0181456PK,6,FLASK 175CM PDL FILT 5/PK,PK
0181458,0181458PK,6,FLASK 75CM COLLAGEN FILT 5PK,PK
018161A,018161APK,10,BAGZP SEAL PE 2MIL 2X3IN 100PK,PK
018161B,018161BPK,10,BAGZIPSEAL PE2MIL3X5INMCS100PK,PK
018161C,018161CPK,10,BAGZIPSEAL PE2MIL 4X6IN M100PK,PK
018161D,018161DPK,10,BAG ZIPSAL PE 2MIL 5X8IN 100PK,PK
018161E,018161EPK,10,BAG ZIPSL PE 2MIL 9X12IN 100PK,PK
01816A,01816AEA,50,BG ZIP SEAL PE 4MIL 4X6IN,EA
01816E,01816EEA,50,BG ZIPSEAL PE 4MIL 9X13IN,EA
01816F,01816FEA,50,BG ZIPSEAL PE 4MIL 9X26IN,EA
018261,018261PK,20,BG AUTO PP CLRPLN 8X12 10/PK,PK
018266,018266PK,20,BG PP CLRPLN 24X30 10/PK,PK
01910271,1910271PK,10,ENDLESS LABEL ROLL 1PK,PK
02002315,02002315EA,4,AMM PERSULFATE XTL500/EA,EA
02002622,02002622EA,4,CITRIC ACID ANHYD PWD 500G,EA
02002688,02002688EA,4,D LACTOSE 1HYD PWD 500G 1EA,EA
02003613,02003613EA,6,PHOSPHORIC ACID NF 500ML 1EA,EA
02003764,02003764EA,6,POTASSIUMHYDROXIDE1N SOL1L 1EA,EA
