Parent,Child,Conversion,Child Vendor Name,Child Description,Parent Description,Child QSU,Child SU,Parent QSU,Parent SU
02540623,02540623EA,250,THERMO SCI ROCHESTER,BTL NM RND NO CLSR 250ML 1EA,BTL NM RND NO CLSR 250ML 250CS,00001,EA,00250,CS
12565185,12565185EA,200,THERMO SCI ROCHESTER,BOX 10 CRYOTUBE TRNSPRT 1/EA,BOX 10 CRYOTUBE TRNSPRT 200/CS,00001,EA,00200,CS
029843,029843EA,144,DWK LIFE SCIENCES LLC,CAPS 13/425 P/S LNR 1/EA,CAPS 13/425 P/S LNR 144/CS,00001,EA,00144,CS
02992077,02992077EA,144,QORPAK,4OZ CL GR AC BKPH,4OZ CL GR AC BKPH PV 144CS,00001,EA,00144,CS
03338C,03338CEA,144,DWK LIFE SCIENCES LLC,SMPL VIAL SCRW CP 2 DR,SMPL VIAL SCRW CP 2 DR 144/PK,00001,EA,00144,PK
03338H,03338HEA,144,DWK LIFE SCIENCES LLC,SMP VIAL SCR CP 6 TALL,SMP VIAL SCR CP 6 TALL 144/PK,00001,EA,00144,PK
0333922A,0333922AEA,144,DWK LIFE SCIENCES LLC,VIAL ST W/CLOSURE .5DR,VIAL ST W/CLOSURE .5DR 144/PK,00001,EA,00144,PK
0333922B,0333922BEA,144,DWK LIFE SCIENCES LLC,VIAL ST W/CLOSURE 1DR,VIAL ST W/CLOSURE 1DR 144/PK,00001,EA,00144,PK
0333926F,0333926FEA,144,DWK LIFE SCIENCES LLC,VIAL SHELL W/CAP 7DR EACH,VIAL SHELL W/CAP 7DR 144/PK,00001,EA,00144,PK
0331314E,0331314EEA,125,THERMO SCI ROCHESTER,BTL PKG WM PP 500ML 1EA,BTL PKG WM PP 500ML 125/CS,00001,EA,00125,CS
FB012925,FB012925EA,120,THERMO FISHER SCIENTIFIC (CHINA) CO LTD,150MM TC DISH 1EA,150MM TC DISH 120/CS,00001,EA,00120,CS
14135A,14135AEA,109,PLASTICOID CORPORATION,RUB STPR 1 HOLE NO00 APX  1EA,RUB STPR 1 HOLE NO00 APX 109PK,00001,EA,00109,PK
0181257,0181257EA,100,CROSSTEX INTERNATIONAL,10X15INSLF SEL ATCLV PCH 1/EA,10X15INSLF SEL ATCLV PCH 100PK,00001,EA,00100,PK
01816D,01816DEA,100,RD PLASTICS COMPANY INC (DOMESTIC),BG ZIP SEAL PE 4MIL 5X8IN,BG ZIPSEAL PE 4MIL 5X8IN 100PK,00001,EA,00100,PK
0254021,0254021EA,100,CORNING LIFE SCIENCES GLASS,CONTAINER 8 OZ,CONTAINER 8 OZ 100/CS,00001,EA,00100,CS
0254023,0254023EA,100,CORNING LIFE SCIENCES GLASS,CONTAINER 10 OZ,CONTAINER 10 OZ 100/CS,00001,EA,00100,CS
07000124,07000124EA,100,GREINER BIO ONE BIOSCIENCES NORTH AMER,96W PLT PS FB CLR UNTRD 1EA,96W PLT PS FB CLR UNTRD 100/CS,00001,EA,00100,CS
07000146,07000146EA,100,GREINER BIO ONE BIOSCIENCES NORTH AMER,96W PLT UBOT CHMSTYLE NAT 1/EA,96W PLT UBOT CHMSTYL NAT 100CS,00001,EA,00100,CS
07000162,07000162EA,100,GREINER BIO ONE BIOSCIENCES NORTH AMER,96WPLT PS FB ST TC CLRLD 1/EA,96WPLT PS FB ST TC CLRLD 100CS,00001,EA,00100,CS
07200130,07200130PK,100,CORNING LIFE SCIENCES PLASTIC,RESERVOIR 100ML IND BAG 1PK,RESERVOIR 100ML IND BAG 100/CS,00001,PK,00100,CS
0720035,0720035EA,100,CORNING LIFE SCIENCES PLASTIC,EIA PLT FLT BTM HI-BNG,EIA PLT FLT BTM HI-BNG 100/CS,00001,EA,00100,CS
07200364,07200364EA,100,CORNING LIFE SCIENCES PLASTIC,CELL LIFTER,CELL LIFTER 100/CS,00001,EA,00100,CS
07200365,07200365EA,100,CORNING LIFE SCIENCES PLASTIC,CELL SCRAPER,CELL SCRAPER 100/CS,00001,EA,00100,CS
07200366,07200366EA,100,CORNING LIFE SCIENCES PLASTIC,CELL SCRAPER GIANT EACH,CELL SCRAPER GIANT 100/CS,00001,EA,00100,CS
07200386,07200386EA,100,CORNING LIFE SCIENCES PLASTIC,FLTR CENT TUBE .2CA N/S 1/EA,FLTR CENT TUBE .2CA N/S C/CS,00001,EA,00100,CS
07200745,07200745EA,100,CORNING LIFE SCIENCES PLASTIC,96L PP UBTM STRLE STD 1/EA,96WL PP UBTM STRLE STD 100/CS,00001,EA,00100,CS
0720084,0720084EA,100,CORNING LIFE SCIENCES PLASTIC,PLATE 24-WELL 3.4ML,PLATE 24-WELL 3.4ML 100/CS,00001,EA,00100,CS
0720086,0720086EA,100,CORNING LIFE SCIENCES PLASTIC,PLATE 48-WELL 1.6ML,PLATE 48-WELL 1.6ML 100/CS,00001,EA,00100,CS
0720092,0720092EA,100,CORNING LIFE SCIENCES PLASTIC,PLT 96-WELL FLAT .365ML 1/EA,PLT 96-WELL FLAT .365ML 100/CS,00001,EA,00100,CS
0720098,0720098EA,100,CORNING LIFE SCIENCES PLASTIC,PLT MICR 96-WL FLT STYR 1/EA,PLT MICR 96-WL FLT STYR 100/CS,00001,EA,00100,CS
08100240,08100240EA,100,ZHEJIANG GONGDONG MEDICAL TECH CO LTD,CELL LIFTER INDIV WRAP 1/EA,CELL LIFTER INDIV WRAP 100/CS,00001,EA,00100,CS
08100241,08100241EA,100,ZHEJIANG GONGDONG MEDICAL TECH CO LTD,CELL SCRAPER INDIV WRAP 1/EA,CELL SCRAPER INDIV WRAP 100/CS,00001,EA,00100,CS
08100242,08100242EA,100,ZHEJIANG GONGDONG MEDICAL TECH CO LTD,CELL SCRAPER LG INDIV 1/EA,CELL SCRAPER LG INDIV 100/CS,00001,EA,00100,CS
087711A,087711AEA,100,CORNING LIFE SCIENCES DL,CELL SCRAPER 18CM 1/EA,CELL SCRAPER 18CM 100/CS,00001,EA,00100,CS
